Y1,YY1,INCOME,DEBT,LIQ,ASSET,NETWORTH,CCBAL,CONSPAY,FOODHOME,FOODAWAY,AGE,EDUC,FAMSTRUCT,HOUSECL,FINLIT,DEBT2INC,EXPENSHILO,WGT
000011,1,103470.59,83921.93,21023.03,49111.09,-34810.84,8532.67,749.11,5317.03,2051.95,84,10,2,1,2,0.8111,1,27493.17
000021,2,58428.68,43687.76,116.99,664057.33,620369.57,0.0,989.29,5915.06,1868.96,35,17,1,2,2,0.7477,2,21740.68
000031,3,118529.8,8898.53,20313.82,121718.95,112820.42,5516.12,59.68,7206.75,3602.08,48,12,1,1,3,0.0751,1,31748.31
000041,4,260596.07,137470.19,2570.73,65045.76,-72424.43,2237.23,714.67,8107.75,3470.52,33,17,2,2,3,0.5275,1,28684.89
000051,5,53597.73,16857.94,3287.35,431846.83,414988.89,4435.14,98.04,8209.34,1987.79,76,17,2,2,1,0.3145,1,24313.05
000061,6,53598.52,18347.63,7757.9,177907.93,159560.29,0.0,381.4,7067.24,271.1,36,11,1,1,2,0.3423,3,7751.31
000071,7,274111.86,230081.35,7980.62,55943.86,-174137.49,0.0,6749.22,5649.27,4316.05,21,16,1,2,3,0.8394,1,23806.3
000081,8,132017.7,59517.72,1363.25,84179.85,24662.13,0.0,1445.35,7359.01,5607.79,21,15,2,1,2,0.4508,1,48640.78
000091,9,43367.82,6262.0,15136.1,34054.73,27792.74,0.0,71.14,6782.09,2262.94,47,16,1,2,2,0.1444,1,15889.87
000101,10,107829.23,24100.6,75.57,25883.55,1782.95,355.03,163.7,5878.86,2730.69,53,11,5,1,3,0.2235,1,21093.3
000111,11,43604.87,3954.77,2184.73,46123.48,42168.72,0.0,80.74,7825.19,5125.31,22,16,4,1,3,0.0907,1,42549.14
000121,12,43514.23,409.69,6480.98,144646.35,144236.66,0.0,2.08,6854.15,5596.82,26,15,2,1,1,0.0094,3,27442.04
000131,13,82270.35,49087.11,2641.47,11859.86,-37227.25,640.76,1218.08,4600.47,2584.12,27,14,1,1,1,0.5967,1,3095.95
000141,14,11825.91,4093.8,183.38,67311.65,63217.85,405.48,45.35,3869.78,3292.5,61,14,5,1,3,0.3462,1,28355.22
000151,15,14010.66,801.22,19234.28,52597.41,51796.19,0.0,10.0,2818.36,6450.17,41,15,2,2,1,0.0572,1,43984.7
000161,16,39892.4,42968.85,519.52,16019.69,-26949.17,3253.36,584.35,4116.14,5254.06,55,12,5,1,3,1.0771,1,35447.46
000171,17,26594.29,8987.74,4352.37,37985.35,28997.61,947.6,216.5,6061.41,1220.19,25,17,4,1,2,0.338,2,38587.29
000181,18,87800.51,611.79,6473.44,8314.12,7702.33,485.69,7.12,8049.93,67.28,77,12,1,1,0,0.007,3,4798.54
000191,19,29224.96,1838.76,5093.34,24311.62,22472.85,1156.87,22.27,5767.39,2945.5,41,16,4,2,2,0.0629,3,11421.38
000201,20,18563.02,25951.26,40304.55,51812.23,25860.97,0.0,480.74,6590.58,1568.18,68,8,2,2,0,1.398,3,30502.91
000211,21,247479.71,279030.7,4465.46,43810.53,-235220.17,0.0,4624.94,7202.9,4435.48,72,17,3,2,1,1.1275,1,10195.02
000221,22,54003.35,71146.21,10608.59,12567.84,-58578.37,0.0,2055.36,3568.51,4927.04,88,16,1,1,2,1.3174,1,38431.89
000231,23,70317.46,18579.16,4444.28,84169.33,65590.16,2049.19,215.24,5135.49,4012.26,66,11,1,2,0,0.2642,2,13664.76
000241,24,18356.27,23879.07,14813.9,249061.73,225182.66,0.0,174.25,3673.41,1888.52,49,15,2,1,0,1.3009,1,17946.9
000251,25,40540.45,11393.16,60372.65,110586.97,99193.81,5189.15,211.05,5326.43,959.02,31,13,1,1,1,0.281,3,4957.81
000261,26,73118.03,1030.64,6295.41,132819.47,131788.83,0.0,9.91,6530.23,4822.21,22,14,2,1,2,0.0141,3,23033.88
000271,27,23484.73,676.33,20077.01,47824.6,47148.27,6075.54,10.38,6156.87,5157.88,77,10,1,2,3,0.0288,3,15018.94
000281,28,92793.16,16643.4,67480.37,73294.63,56651.24,0.0,161.11,4353.47,5714.73,49,12,5,1,0,0.1794,1,4559.16
000291,29,38538.97,27712.16,56552.89,116579.13,88866.97,3838.05,748.9,7091.08,2919.58,66,17,1,2,2,0.7191,3,9292.76
000301,30,50892.74,19412.36,2456.47,168593.39,149181.03,1557.78,255.98,6525.87,3317.29,51,13,4,1,2,0.3814,2,21443.19
000311,31,38501.95,286.68,31747.79,39960.33,39673.65,1045.84,6.99,6857.29,5122.71,76,9,5,1,0,0.0074,3,19087.13
000321,32,350477.0,136724.9,7690.86,37487.74,-99237.15,0.0,3926.07,6311.22,3523.47,66,14,1,2,0,0.3901,1,43461.62
000331,33,65372.21,14407.69,36717.69,78046.93,63639.24,0.0,410.82,4497.37,2354.95,26,17,2,2,1,0.2204,3,17231.52
000341,34,25541.51,3659.9,13677.98,4326536.48,4322876.58,0.0,66.32,3573.11,1821.8,66,12,4,2,3,0.1433,1,22515.46
000351,35,138730.77,152360.73,8072.37,91777.61,-60583.13,1885.19,4507.04,6777.35,4936.74,39,11,4,1,3,1.0982,1,22203.31
000361,36,22053.81,1318.3,10733.77,14168.31,12850.01,0.0,28.21,6847.96,2916.28,68,15,1,1,2,0.0598,2,31149.95
000371,37,79855.76,92793.74,7780.91,10151.09,-82642.65,7730.91,762.04,6153.77,2411.37,83,17,1,1,0,1.162,1,45430.14
000381,38,11342.33,6026.86,8348.19,187456.9,181430.04,0.0,163.99,10208.91,4400.28,81,16,1,1,1,0.5314,1,34707.19
000391,39,20022.91,2056.61,3692.66,2493081.92,2491025.32,0.0,34.38,5082.68,2075.28,29,15,3,1,3,0.1027,1,42404.26
000401,40,78997.79,20362.54,3124.08,42406.74,22044.19,4343.88,179.54,6686.9,2344.16,23,12,1,1,0,0.2578,2,11794.68
000411,41,128620.3,35803.59,117443.76,153353.74,117550.15,1127.48,887.41,6224.12,3580.13,68,16,3,1,2,0.2784,1,42454.27
000421,42,77205.92,33750.4,11609.17,125861.1,92110.7,0.0,695.6,5933.07,2567.1,63,16,2,2,1,0.4371,3,35907.26
000431,43,59630.15,21512.74,1751.19,19831.08,-1681.66,2181.3,581.98,3870.66,6329.32,33,16,3,2,0,0.3608,2,16860.74
000441,44,50463.56,11563.8,2982.89,4300.76,-7263.04,1852.82,296.99,5460.4,4566.8,62,13,4,1,1,0.2292,1,45083.13
000451,45,17489.05,12837.43,32901.23,316664.77,303827.34,0.0,166.92,7926.91,3753.74,19,13,4,1,3,0.734,3,34256.21
000461,46,34618.39,22959.88,1306.18,25172.58,2212.7,0.0,261.92,7179.76,6308.98,59,12,1,1,3,0.6632,3,24984.96
000471,47,43714.06,19456.16,341.16,289628.81,270172.65,5449.55,454.22,7704.68,3659.38,72,16,5,1,1,0.4451,3,36108.52
000481,48,171340.83,59614.32,389.47,19510.04,-40104.29,4730.74,1152.51,4783.01,5663.82,59,15,3,2,0,0.3479,1,3316.61
000491,49,90152.36,17017.45,218.73,72092.65,55075.19,0.0,114.81,7850.54,1510.82,24,10,5,1,2,0.1888,3,18200.35
000501,50,13538.11,708.22,474.44,216304.78,215596.56,1025.74,6.76,3810.54,2235.96,88,9,3,1,0,0.0523,2,39504.94
000511,51,88581.26,35392.27,586.66,298788.67,263396.4,2554.27,310.88,5608.1,1583.85,44,17,2,1,2,0.3995,3,43373.64
000521,52,46790.05,51010.37,59481.9,144403.43,93393.06,5616.76,1007.2,3962.79,4508.77,45,8,4,2,3,1.0902,3,40608.73
000531,53,35981.86,19045.02,4522.76,83337.76,64292.74,0.0,136.06,9547.66,410.14,26,15,1,1,2,0.5293,3,37366.66
000541,54,114749.72,28488.14,2555.81,154240.51,125752.37,939.73,290.37,6322.73,4135.23,32,14,1,2,3,0.2483,2,26386.4
000551,55,167359.52,97651.76,365.72,120486.65,22834.89,0.0,1819.68,7892.8,2512.25,39,16,1,1,3,0.5835,1,11911.09
000561,56,152993.71,200724.6,3798.54,12430.52,-188294.08,3861.01,1671.32,6803.69,3761.05,70,10,4,1,2,1.312,2,8207.67
000571,57,31091.95,17780.41,215.47,9098.31,-8682.1,0.0,199.26,7066.94,3460.88,62,15,5,1,3,0.5719,3,46427.74
000581,58,50096.62,24390.26,2527.66,5058.76,-19331.5,0.0,674.87,3911.01,4610.29,56,15,4,2,0,0.4869,3,12907.43
000591,59,89155.48,73056.96,202013.52,391062.61,318005.65,0.0,1638.52,5872.66,7972.21,75,16,5,1,1,0.8194,1,14528.03
000601,60,159211.79,126738.88,16233.73,49304.51,-77434.37,3600.99,1606.04,3837.41,7538.41,89,14,5,1,3,0.796,3,36922.85
000611,61,42990.88,12703.8,3368.97,208272.77,195568.97,5980.57,342.16,5065.55,5133.63,45,15,2,1,0,0.2955,2,38525.75
000621,62,55988.8,13418.01,17268.21,126974.92,113556.92,6299.77,151.05,6048.54,2813.87,46,13,1,1,0,0.2397,1,22184.84
000631,63,24447.87,9159.94,1922.19,15233.38,6073.44,0.0,180.7,4123.49,3877.22,65,17,3,2,2,0.3747,1,6527.32
000641,64,22548.28,7978.88,1163.03,51157.43,43178.55,1279.23,113.4,3399.53,2704.94,59,14,2,1,3,0.3539,3,25769.46
000651,65,137485.43,169582.43,105602.08,135867.68,-33714.75,3245.62,4036.7,3550.7,2028.28,19,16,2,1,3,1.2335,3,41198.0
000661,66,224272.26,20483.3,628.86,24637.4,4154.1,5991.19,292.7,7231.35,0.0,60,10,4,1,2,0.0913,2,44452.54
000671,67,62018.68,85584.51,2598.22,238915.59,153331.08,2949.34,960.39,5331.68,3044.25,64,14,1,1,3,1.38,2,33560.18
000681,68,163273.11,114946.07,8525.87,2595799.44,2480853.37,1597.64,2321.06,3383.78,4051.91,88,10,1,1,3,0.704,3,35175.08
000691,69,91626.19,14497.58,911.21,320345.06,305847.47,0.0,342.63,5837.55,4722.98,56,11,3,1,1,0.1582,2,4117.91
000701,70,37026.61,6236.73,15852.6,73354.05,67117.32,0.0,114.81,7380.19,3725.61,62,14,1,1,2,0.1684,2,13017.21
000711,71,91606.37,4806.12,2830.28,398866.77,394060.65,0.0,110.09,5704.86,2111.49,69,13,2,1,2,0.0525,3,38109.79
000721,72,264139.57,95718.4,16236.85,798036.65,702318.25,7005.08,1488.46,3083.65,2503.4,27,14,2,1,1,0.3624,3,27933.68
000731,73,64071.6,3208.96,14111.87,21528.23,18319.27,1501.7,79.86,5566.89,5347.02,65,14,3,2,2,0.0501,2,30587.59
000741,74,270541.1,76006.44,3173.46,379150.04,303143.6,5890.61,1491.67,4304.63,80.75,54,12,1,1,3,0.2809,3,41088.22
000751,75,6261.84,1950.44,106850.46,296801.77,294851.33,2534.35,19.32,6405.84,2481.14,27,13,4,2,2,0.3115,2,34465.43
000761,76,138650.58,108259.45,1483.85,357303.25,249043.8,0.0,2952.1,5160.75,3546.71,61,16,5,1,3,0.7808,1,22735.23
000771,77,71563.64,7152.11,55712.89,258503.89,251351.79,3030.46,185.39,6327.64,2679.5,37,16,4,2,2,0.0999,1,48778.83
000781,78,50558.86,3655.67,40736.5,83285.28,79629.61,1908.14,106.37,2443.03,463.55,53,14,5,1,1,0.0723,2,14362.79
000791,79,71867.88,35141.75,119084.42,1382470.41,1347328.66,965.39,675.61,6032.73,5369.93,39,15,5,1,1,0.489,2,18976.67
000801,80,11061.08,12398.37,6723.07,106370.94,93972.57,0.0,271.44,5353.73,5828.28,27,16,2,1,3,1.1209,2,34377.44
000811,81,54300.86,56189.33,1188.62,32399.1,-23790.22,0.0,1494.05,4109.8,1525.55,38,9,4,1,2,1.0348,1,13905.62
000821,82,91253.93,59172.47,206536.79,334432.07,275259.59,8749.51,373.66,6005.47,0.0,48,15,2,2,1,0.6484,3,20883.76
000831,83,250222.21,31748.63,2690.65,260144.01,228395.38,520.44,882.77,5256.05,7499.66,51,16,1,1,3,0.1269,3,35492.57
000841,84,41504.49,2908.33,1136.4,70155.71,67247.39,1419.57,34.26,5739.51,2668.65,31,14,4,1,2,0.0701,1,18889.78
000851,85,31963.69,4637.48,3492.54,111472.89,106835.41,0.0,29.8,3900.69,1554.68,42,14,1,1,3,0.1451,1,5689.69
000861,86,42125.93,25991.22,839.63,69200.14,43208.92,3939.36,284.35,6171.74,3277.17,74,14,1,1,2,0.617,1,29319.56
000871,87,150822.95,71422.45,12670.96,34916.27,-36506.19,728.54,1404.09,2169.15,4141.33,79,14,4,1,3,0.4736,2,39195.85
000881,88,88954.12,13515.26,1652.09,19105.03,5589.77,12828.0,83.74,5470.31,2242.27,53,16,1,1,2,0.1519,2,37914.03
000891,89,41077.5,7231.13,2929.33,10230.39,2999.26,4147.05,36.29,5782.48,3760.38,51,15,2,2,1,0.176,2,32191.22
