feature,lr_coef,lr_abs_coef,rf_gini,perm_lr,perm_rf,shap_mean_abs,lr_abs_coef_rank,rf_gini_rank,perm_lr_rank,perm_rf_rank,shap_mean_abs_rank,mean_rank
FOODHOME,0.2133,0.2133,0.0721,0.0215,0.0108,0.0272,2.0,7.0,1.0,1.0,1.0,2.4
INCOME,-0.2411,0.2411,0.0761,0.0124,0.0011,0.014,1.0,3.0,3.0,12.0,7.0,5.2
AGE,-0.0913,0.0913,0.0759,0.0068,0.0065,0.0133,6.0,4.0,5.0,3.0,10.0,5.6
FOODAWAY,-0.1456,0.1456,0.0631,0.0131,0.005,0.0134,5.0,9.0,2.0,4.0,8.0,5.6
CONSPAY,0.1602,0.1602,0.0333,0.0066,0.0044,0.0141,4.0,14.0,6.0,6.0,6.0,7.2
LIQ_TO_INC,-0.0772,0.0772,0.071,0.0029,0.0047,0.0134,8.0,8.0,9.0,5.0,9.0,7.8
FOOD_RATIO,0.0112,0.0112,0.0826,0.0002,0.0023,0.0244,16.0,1.0,14.0,9.0,2.0,8.4
LIQ,-0.0222,0.0222,0.0787,0.0006,0.0007,0.0162,14.0,2.0,11.0,13.0,3.0,8.6
DEBT,-0.1674,0.1674,0.0573,0.0074,-0.002,0.0119,3.0,10.0,4.0,18.0,11.0,9.2
PAYMENT_TO_INC,0.0124,0.0124,0.034,0.0006,0.0086,0.0159,15.0,13.0,12.0,2.0,4.0,9.2
CC_TO_INC,0.0798,0.0798,0.0326,0.0004,0.0012,0.0146,7.0,15.0,13.0,11.0,5.0,10.2
ASSET,-0.0103,0.0103,0.0749,0.0002,0.0017,0.0111,17.0,5.0,15.0,10.0,13.0,12.0
DTI,0.0591,0.0591,0.0567,0.005,-0.005,0.0104,9.0,11.0,8.0,19.0,15.0,12.4
EDUC,-0.0563,0.0563,0.0391,0.0061,-0.0003,0.0071,10.0,12.0,7.0,17.0,17.0,12.6
FINLIT,0.033,0.033,0.0207,0.0018,0.0034,0.005,11.0,18.0,10.0,7.0,18.0,12.8
NETWORTH,0.001,0.001,0.0747,-0.0,-0.0001,0.0114,19.0,6.0,16.0,16.0,12.0,13.8
FAMSTRUCT,-0.0302,0.0302,0.0224,-0.001,0.0033,0.0076,12.0,17.0,18.0,8.0,16.0,14.2
CCBAL,-0.0017,0.0017,0.0299,-0.0,0.0,0.0105,18.0,16.0,17.0,15.0,14.0,16.0
HOUSECL,0.0253,0.0253,0.0051,-0.0023,0.0004,0.0017,13.0,19.0,19.0,14.0,19.0,16.8
