Feature,Mean |SHAP|
FOOD_RATIO,0.025239638060403285
FOODHOME,0.022580632052291258
LIQ,0.014462255480022421
CONSPAY,0.014082459113393377
PAYMENT_TO_INC,0.013963037141735267
DEBT,0.013416500600349069
INCOME,0.013171551592676136
LIQ_TO_INC,0.01282810179082781
FOODAWAY,0.011856364562754762
CCBAL,0.011843761267782724
AGE,0.011544238432470945
CC_TO_INC,0.011526400920604073
ASSET,0.009867782622172491
NETWORTH,0.009656165615923728
DTI,0.009212481248190296
FAMSTRUCT_4,0.008031610191613862
FAMSTRUCT_5,0.005780176037296516
FINLIT,0.005194535238645599
HOUSECL_2,0.003287022745652972
EDUC_12,0.0032627241866687346
EDUC_8,0.00253428576311982
EDUC_9,0.001706910831653956
FAMSTRUCT_3,0.0016773409067567943
EDUC_13,0.0014146286035640315
EDUC_7,0.0013863291210031625
EDUC_14,0.0011121864192109076
FAMSTRUCT_2,0.0010404602861265764
EDUC_10,0.000861037155115631
EDUC_11,0.0005860815950528134
EDUC_3,0.0005830396542108079
EDUC_6,0.00032772598734272175
EDUC_5,0.00029837243118182124
EDUC_2,0.0002074270652562259
EDUC_4,0.00017032853095308938
EDUC_1,0.000108742508825541
